Document Title,EC1,EC2,EC3,EC4,EC5
{Dispelling the {Gorilla} {Arm} {Syndrome}: {The} {Viability} of {Prolonged} {Gesture} {Interactions}},X,-,-,-,-
{Masking {Distracting} {Ambient} {Sound} in an {Adaptive} {VR}-{Application} to {Increase} {Presence}},X,-,-,-,-
{Design of a {Computer}-{Assisted} {System} for {Teaching} {Attentional} {Skills} to {Toddlers} with {ASD}},X,-,-,-,-
{Research {Initiative}: {Using} {Games} for {Better} {Career} {Choices}},X,-,-,-,-
{{TACTILE} – {A} {Novel} {Mixed} {Reality} {System} for {Training} and {Social} {Interaction}},X,-,-,-,-
{‘{Blind} {Faith}’. {An} {Experiment} with {Narrative} {Agency} in {Game} {Design}},X,-,-,-,-
{From “{Cane}” to “{Sugar}”: {Empowering} {Taisugar} {History} of {Digital} {Design} with “{Interactive} {Visual} {Storytelling}”},X,-,-,-,-
{Research on {Personalized} {Learning} {Pattern} in {Traditional} {Handicraft} {Using} {Augmented} {Reality}: {A} {Case} {Study} of {Cantonese} {Porcelain}},X,-,-,-,-
{Immersion {Versus} {Embodiment}: {Embodied} {Cognition} for {Immersive} {Analytics} in {Mixed} {Reality} {Environments}},X,-,-,-,-
{Game development software engineering process life cycle: a systematic review},X,-,-,-,-
"{Reinforcement learning-based drone simulators: survey, practice, and challenge}",X,-,-,-,-
{{3D} sound spatialization with game engines: the virtual acoustics performance of a game engine and a middleware for interactive audio design},-,-,-,-,-
{An empirical study of {Q}\&{A} websites for game developers},X,-,-,-,-
{Authoring {Effective} {Embedded} {Tutors}: {An} {Overview} of the {Extensible} {Problem} {Specific} {Tutor} ({xPST}) {System}},X,-,-,-,-
{Potentials of game engines for wind power digital twin development: an investigation of the {Unreal} {Engine}},-,-,-,-,-
{Adapting {Game} {Engines} to {Curved} {Spaces}},-,-,-,-,-
{High-performance adaptive texture streaming and rendering of large {3D} cities},X,-,-,-,-
{Creating explorable extended reality environments with semantic annotations},X,-,-,-,-
{A survey on the pipeline evolution of facial capture and tracking for digital humans},X,-,-,-,-
{Toward next generation mixed reality games: a research through design approach},X,-,-,-,-
{Artificial intelligence moving serious gaming: {Presenting} reusable game {AI} components},-,-,-,-,-
{Virtual reality content creation based on self-contained components in the e-learning domain: {Re}-using pattern-based vr content in different authoring toolkits},X,-,-,-,-
{Visual aspect-oriented modeling of explorable extended reality environments},X,-,-,-,-
{Can we benefit from game engines to develop digital twins for planning the deployment of photovoltaics?},-,-,-,-,X
"{A survey of modeling, rendering and animation of clouds in computer graphics}",X,-,-,-,-
{Cloud media video encoding: review and challenges},X,-,-,-,-
{A systematic review of virtual {3D} reconstructions of {Cultural} {Heritage} in immersive {Virtual} {Reality}},X,-,-,-,-
{Artificial intelligence in the creative industries: a review},X,-,-,-,-
"{Generative deep learning for data generation in natural hazard analysis: motivations, advances, challenges, and opportunities}",X,-,-,-,-
{{VR} {Designer}: enhancing fashion showcases through immersive virtual garment fitting},X,-,-,-,-
{Technological {Advancements} in {Affective} {Gaming}: {A} {Historical} {Survey}},X,-,-,-,-
{Presence and interaction in mixed reality environments},X,-,-,-,-
{Knowledge-based approach to adaptive {XR} interface design for non-programmers},X,-,-,-,-
{Prototyping {Tools} for {Game} {Writers}},X,-,-,-,-
{Real-time fracturing in video games},X,-,-,-,-
{Deep learning model based multimedia retrieval and its optimization in augmented reality applications},X,-,-,-,-
{Towards {3D} {Scene} {Understanding} {Using} {Differentiable} {Rendering}},X,-,-,-,-
{User attention and behaviour in virtual reality art encounter},X,-,-,-,-
{Virtual {Observations}: a software tool for contextual observation and assessment of user’s actions in virtual reality},X,-,-,-,-
{Personalised {Learning} through {Context}-{Based} {Adaptation} in the {Serious} {Games} with {Gating} {Mechanism}},X,-,-,-,-
{{NCCollab}: collaborative behavior tree authoring in game development},X,-,-,-,-
{Air {Learning}: a deep reinforcement learning gym for autonomous aerial robot visual navigation},X,-,-,-,-
{A review of immersive virtual reality serious games to enhance learning and training},X,-,-,-,-
{Scene {Walk}: a non-photorealistic viewing tool for first-person video},X,-,-,-,-
{A {Review} and {Outlook} on {Predictive} {Cruise} {Control} of {Vehicles} and {Typical} {Applications} {Under} {Cloud} {Control} {System}},X,-,-,-,-
{Behavlets: a method for practical player modelling using psychology-based player traits and domain specific features},X,-,-,-,-
{A scoping review of {In}-the-loop paradigms in the energy sector focusing on software-in-the-loop},X,-,-,-,-
{Temporally {Coherent} {General} {Dynamic} {Scene} {Reconstruction}},X,-,-,-,-
{Comprehensive analysis of digital twins in smart cities: a 4200-paper bibliometric study},X,-,-,-,-
"{A survey of modeling, rendering and animation of clouds in computer graphics}",X,-,-,X,-
{Virtual reality content creation based on self-contained components in the e-learning domain: {Re}-using pattern-based vr content in different authoring toolkits},X,-,-,X,-
"{Reinforcement learning-based drone simulators: survey, practice, and challenge}",X,-,-,X,-
{{3D} sound spatialization with game engines: the virtual acoustics performance of a game engine and a middleware for interactive audio design},-,-,-,X,-
{Can we benefit from game engines to develop digital twins for planning the deployment of photovoltaics?},-,-,-,X,X
{A survey on the pipeline evolution of facial capture and tracking for digital humans},X,-,-,X,-
{Game development software engineering process life cycle: a systematic review},X,-,-,X,-
{High-performance adaptive texture streaming and rendering of large {3D} cities},X,-,-,X,-
{An empirical study of {Q}\&{A} websites for game developers},X,-,-,X,-
{Artificial intelligence in the creative industries: a review},X,-,-,X,-
"{Generative deep learning for data generation in natural hazard analysis: motivations, advances, challenges, and opportunities}",X,-,-,X,-
{Adapting {Game} {Engines} to {Curved} {Spaces}},-,-,-,X,-
{Creating explorable extended reality environments with semantic annotations},X,-,-,X,-
{Authoring {Effective} {Embedded} {Tutors}: {An} {Overview} of the {Extensible} {Problem} {Specific} {Tutor} ({xPST}) {System}},X,-,-,X,-
{Potentials of game engines for wind power digital twin development: an investigation of the {Unreal} {Engine}},-,-,-,X,-
{Visual aspect-oriented modeling of explorable extended reality environments},X,-,-,X,-
{Toward next generation mixed reality games: a research through design approach},X,-,-,X,-
{Artificial intelligence moving serious gaming: {Presenting} reusable game {AI} components},-,-,-,X,-
{Cloud media video encoding: review and challenges},X,-,-,X,-
{A systematic review of virtual {3D} reconstructions of {Cultural} {Heritage} in immersive {Virtual} {Reality}},X,-,-,X,-
{Immersive virtual-reality computer-assembly serious game to enhance autonomous learning},X,-,-,-,-
{{PhyDSLK}: a model-driven framework for generating exergames},X,-,-,-,-
{Colour {Calibration} of a {Head} {Mounted} {Display} for {Colour} {Vision} {Research} {Using} {Virtual} {Reality}},X,-,-,-,-
{{RGB}-{D} datasets using microsoft kinect or similar sensors: a survey},X,-,-,-,-
{Three-dimensional modeled environments versus 360 degree panoramas for mobile virtual reality training},X,-,-,-,-
{{RORSIM}: a warship collision avoidance {3D} simulation designed to complement existing {Junior} {Warfare} {Officer} training},X,-,-,-,-
{A walk in the black-box: {3D} visualization of large neural networks in virtual reality},X,-,-,-,-
{Scientific {Visualization} on the {Cloud}: the {NEANIAS} {Services} towards {EOSC} {Integration}},X,-,-,-,-
{Designing and evaluation of a mixed reality system for crime scene investigation training: a hybrid approach},X,-,-,-,-
{Design and evaluation of a collaborative {UML} modeling environment in virtual reality},X,-,-,-,-
{A systematic review of wearable biosensor usage in immersive virtual reality experiences},X,-,-,-,-
"{A survey of appearance-based approaches for human gait recognition: techniques, challenges, and future directions}",X,-,-,-,-
{{ShadingNet}: {Image} {Intrinsics} by {Fine}-{Grained} {Shading} {Decomposition}},X,-,-,-,-
{Text readability in augmented reality: a multivocal literature review},X,-,-,-,-
{A {New} {Dataset} and a {Distractor}-{Aware} {Architecture} for {Transparent} {Object} {Tracking}},X,-,-,-,-
{Sonics: develop intuition on biomechanical systems through interactive error controlled simulations},X,-,-,-,-
{An immersive virtual reality learning environment with {CFD} simulations: {Unveiling} the {Virtual} {Garage} concept},X,-,-,-,-
{Application of eye-tracking systems integrated into immersive virtual reality and possible transfer to the sports sector - {A} systematic review},X,-,-,-,-
{Digital modes of interpretation of {Pictish} sculpture},X,-,-,-,-
{Expectations and realities: {Examining} adolescent students’ game jam experiences},X,-,-,-,-
{Immersive training of first responder squad leaders in untethered virtual reality},X,-,-,-,-
{Towards {socialVR}: evaluating a novel technology for watching videos together},X,-,-,-,-
{Machine learning and games},X,-,-,-,-
{Bridging realities: training visuo-haptic object recognition models for robots using {3D} virtual simulations},X,-,-,-,-
{Virtual reality for the assessment and rehabilitation of neglect: where are we now? {A} 6-year review update},X,-,-,-,-
{Immersive virtual reality for complex skills training: content analysis of experienced challenges},X,-,-,-,-
{A comparison of natural user interface and graphical user interface for narrative in {HMD}-based augmented reality},X,-,-,-,-
{Designing and implementing interactive and realistic augmented reality experiences},X,-,-,-,-
"{Current trends in digital twin development, maintenance, and operation: an interview study}",X,-,-,-,-
{An {Edge} {Cloud} {Based} {Coordination} {Platform} for {Multi}-user {AR} {Applications}},X,-,-,-,-
{A {Study} of {Using} {Synthetic} {Data} for {Effective} {Association} {Knowledge} {Learning}},X,-,-,-,-
{Augmented reality in architecture and construction education: state of the field and opportunities},X,-,-,-,-
{Immersive analysis of user motion in {VR} applications},X,-,-,-,-
{Two is better than one: digital siblings to improve autonomous driving testing},X,-,-,-,-
{Deep learning: survey of environmental and camera impacts on internet of things images},X,-,-,-,-
{Prop-oriented world rotation: enabling passive haptic feedback by aligning real and virtual objects in virtual reality},X,-,-,-,-
{{GPU} based real-time simulation of massive falling leaves},X,-,-,-,-
{Digital {3D} models for medieval heritage: diachronic analysis and documentation of its architecture and paintings},X,-,-,-,-
{Comprehensive review and classification of game analytics},X,-,-,-,-
{Using a {NEAT} approach with curriculums for dynamic content generation in video games},X,-,-,-,-
{What {Empirically} {Based} {Research} {Tells} {Us} {About} {Game} {Development}},X,-,-,-,-
{A {Virtual} {Space} for {Children} to {Meet} and {Practice} {Chinese}},X,-,-,-,-
{Evaluation of augmented reality technology for the design of an evacuation training game},X,-,-,-,-
{Enabling personalized {VR} experiences: a framework for real-time adaptation and recommendations in {VR} environments},X,-,-,-,-
{{SyDog}-{Video}: {A} {Synthetic} {Dog} {Video} {Dataset} for {Temporal} {Pose} {Estimation}},x,-,-,-,-
{Elementium: design and pilot evaluation of a serious game for familiarizing players with basic chemistry},X,-,-,-,-
{Exploring students’ perspectives on {Generative} {AI}-assisted academic writing},X,-,-,-,-
{{ArchReco}: a software tool to assist software design based on context aware recommendations of design patterns},X,-,-,-,-
{{ReLiShaft}: realistic real-time light shaft generation taking sky illumination into account},x,-,-,-,-
{The geometry of the vergence-accommodation conflict in mixed reality systems},X,-,-,-,-
{Simulating vision impairment in virtual reality: a comparison of visual task performance with real and simulated tunnel vision},X,-,-,-,-
{Virtual reality and machine learning in the automatic photoparoxysmal response detection},X,-,-,-,-
{Exploring different content creation and display methods for remote collaboration supported by {eXtended} reality: comparative analysis of distinct task scenarios},X,-,-,-,-
{Smell and touch in the {Virtual} {Jumpcube}},X,-,-,-,-
{The {Reasonable} {Effectiveness} of {Synthetic} {Visual} {Data}},X,-,-,-,-
{Adoption of immersive-virtual reality as an intrinsically motivating learning tool in parasitology},X,-,-,-,-
{A game prototype for understanding the safety issues of a lifeboat launch},X,-,-,-,-
{My {Lovely} {Granny}’s {Farm}: {An} immersive virtual reality training system for children with autism spectrum disorder},X,-,-,-,-
{Evaluation of {Road} {Safety} {Education} {Program} with {Virtual} {Reality} {Eye} {Tracking}},X,-,-,-,-
"{Systematic review and meta-analysis of augmented reality in medicine, retail, and games}",X,-,-,-,-
{Determinants of victory in {Esports} - {StarCraft} {II}},X,-,-,-,-
"{Aspects of visual avatar appearance: self-representation, display type, and uncanny valley}",X,-,-,-,-
{Embedded {3D} reconstruction of dynamic objects in real time for maritime situational awareness pictures},X,-,-,-,-
"{Train here, drive there: {ROS} based end-to-end autonomous-driving pipeline validation in {CARLA} simulator using the {NHTSA} typology}",X,-,-,-,-
{Adding {Communicative} and {Affective} {Strategies} to an {Embodied} {Conversational} {Agent} to {Enhance} {Second} {Language} {Learners}’ {Willingness} to {Communicate}},X,-,-,-,-
{Comparison of gaze accuracy and precision in real-world and virtual reality},X,-,-,-,-
{Cultivating empathy through narratives in virtual reality: a review},X,-,-,-,-
{Enhancing music rhythmic perception and performance with a {VR} game},X,-,-,-,-
"{Editorial for {EAIT} issue 7, 2023}",X,-,-,-,-
{Real-{Time} {Multi}-person {Motion} {Capture} from {Multi}-view {Video} and {IMUs}},X,-,-,-,-
"{Replicating outdoor environments using {VR} and ambisonics: a methodology for accurate audio-visual recording, processing and reproduction}",X,-,-,-,-
{Design methodology for 360° immersive video applications: the case study of a cultural heritage virtual tour},X,-,-,-,-
{Virtual reality environments for stress reduction and management: a scoping review},X,-,-,-,-
{{CTSN}: {Predicting} cloth deformation for skeleton-based characters with a two-stream skinning network},X,-,-,-,-
{{shARe}-{IT}: {Ad} hoc {Remote} {Troubleshooting} through {Augmented} {Reality}},X,-,-,-,-
{Automatic object annotation in streamed and remotely explored large {3D} reconstructions},X,-,-,-,-
{An augmented reality approach for communicating intangible and architectural heritage through digital characters and scale models},X,-,-,-,-
{On the precision of third person perspective augmented reality for target designation tasks},X,-,-,-,-
{Using visual feedback to improve hand movement accuracy in confined-occluded spaces in virtual reality},X,-,-,-,-
{Genetic programming for feature model synthesis: a replication study},X,-,-,-,-
{Evaluation of a virtual reality training tool for firefighters responding to transportation incidents with dangerous goods},X,-,-,-,-
{Harmonize: a shared environment for extended immersive entertainment},X,-,-,-,-
{Predictive digital twin for offshore wind farms},X,-,-,-,-
{Exploring sensorimotor performance and user experience within a virtual reality golf putting simulator},X,-,-,-,-
{Virtual reality for biochemistry education: the cellular factory},X,-,-,-,-
{Development of {Immersive} {Virtual} {Reality} {Hospital} {Fire} {Management} and {Evacuation} {Training} {Program} for {Nursing} {Students} in {Hong} {Kong}},X,-,-,-,-
"{Effect of immersive visualization technologies on cognitive load, motivation, usability, and embodiment}",X,-,-,-,-
{Virtual reality’s effect on parameter optimisation for crowd-sourced procedural animation},X,-,-,-,-
{A {VR}-based user study on the effects of vision impairments on recognition distances of escape-route signs in buildings},X,-,-,-,-
{Virtual conference design: features and obstacles},X,-,-,-,-
{Precomputed optimal one-hop motion transition for responsive character animation},X,-,-,-,-
{Application of virtual reality for peritoneal dialysis exchange learning in patients with end-stage renal disease and cognitive impairment},X,-,-,-,-
{Immersive virtual reality and passive haptic interfaces to improve procedural learning in a formal training course for first responders},X,-,-,-,-
{Assessment of music performance anxiety in a virtual auditorium through the study of ambient lighting and audience distance},X,-,-,-,-
{Usability evaluation of a virtual reality smartphone app for a living museum},X,-,-,-,-
{Immersive machine learning for social attitude detection in virtual reality narrative games},X,-,-,-,-
{Open data exploration in virtual reality: a comparative study of input technology},X,-,-,-,-
{Exploring {Gender} {Differences} in {Computational} {Thinking} {Learning} in a {VR} {Classroom}: {Developing} {Machine} {Learning} {Models} {Using} {Eye}-{Tracking} {Data} and {Explaining} the {Models}},X,-,-,-,-
{{BeHere}: a {VR}/{SAR} remote collaboration system based on virtual replicas sharing gesture and avatar in a procedural task},X,-,-,-,-
{Investigating the effectiveness of immersive {VR} skill training and its link to physiological arousal},X,-,-,-,-
{Immersive movies: the effect of point of view on narrative engagement},X,-,-,-,-
{Virtual reality as a communication medium: a comparative study of forced compliance in virtual reality versus physical world},X,-,-,-,-
{Verification of the possibility and effectiveness of experiential learning using {HMD}-based immersive {VR} technologies},X,-,-,-,-
{Information {Theoretic} {Model} to {Simulate} {Agent}-{Signage} {Interaction} for {Wayfinding}},X,-,-,-,-
{Why don’t we trace? {A} study on the barriers to software traceability in practice},X,-,-,-,-
{{AdaPIP}: {Adaptive} picture-in-picture guidance for 360° film watching},X,-,-,-,-
"{Editorial for {EAIT} issue 4, 2020}",X,-,-,-,-
{Materialising contexts: virtual soundscapes for real-world exploration},X,-,-,-,-
{Learning goal hierarchies from structured observations and expert annotations},X,-,-,-,-
{A framework for virtual learning in industrial engineering education: development of a reconfigurable virtual learning factory application},X,-,-,-,-
{Usability of visualizing position and orientation deviations for manual precise manipulation of objects in augmented reality},X,-,-,-,-
{Promoting eco-driving behavior through multisensory stimulation: a preliminary study on the use of visual and haptic feedback in a virtual reality driving simulator},X,-,-,-,-
{Domain randomization for neural network classification},X,-,-,-,-
{Attention computing for enhanced visuomotor skill performance: {Testing} the effectiveness of gaze-adaptive cues in virtual reality golf putting},X,-,-,-,-
{Mixed reality in surgical telepresence: a novel extended mean value cloning with automatic trimap generation and accurate alpha matting for visualization},X,-,-,-,-
{Summary of {Energy} {Informatics}.{Academy} {Conference} 2022},X,-,-,-,-
{Using augmented reality for supporting information exchange in teams from the security domain},X,-,-,-,-
{An agent-based model and computational framework for counter-terrorism and public safety based on swarm intelligencea},X,-,-,-,-
{An olfactory display for virtual reality glasses},X,-,-,-,-
{Architectural design game: {A} serious game approach to promote teaching and learning using multimodal interfaces},X,-,-,-,-
{Learning to {Overcome} {Cultural} {Conflict} through {Engaging} with {Intelligent} {Agents} in {Synthetic} {Cultures}},X,-,-,-,-
{Implementation of a hepatitis-themed virtual escape room in pharmacy education: {A} pilot study},X,-,-,-,-
{Leveraging {Transmedia} storytelling to engage tourists in the understanding of the destination’s local heritage},X,-,-,-,-
"{Behavioral intention, perception and user assessment in an immersive virtual reality environment with {CFD} simulations}",X,-,-,-,-
{Fitted avatars: automatic skeleton adjustment for self-avatars in virtual reality},X,-,-,-,-
{System {Thinking} in {Gamification}},X,-,-,-,-
{Internet-based tailored virtual human health intervention to promote colorectal cancer screening: design guidelines from two user studies},X,-,-,-,-
{Improved perception of ceramic molds through augmented reality},X,-,-,-,-
{Spatially resolved transcriptomics in immersive environments},X,-,-,-,-
"{Exploring structural relations among computer self-efficacy, perceived immersion, and intention to use virtual reality training systems}",X,-,-,-,-
{Exploring the future building: representational effects on projecting oneself into the future office space},X,-,-,-,-
{Understanding freehand gestures: a study of freehand gestural interaction for immersive {VR} shopping applications},X,-,-,-,-
{What can science fiction tell us about the future of artificial intelligence policy?},X,-,-,-,-
{Assessing the learning and transfer of gaze behaviours in immersive virtual reality},X,-,-,-,-
{Assessing the adoption of the {Yavuz} {Battleship} application in the mixed reality environment using the technology acceptance model},X,-,-,-,-
{Back to the {Control} {Room}: {Managing} {Artistic} {Work}},X,-,-,-,-
{Envisioning the future of virtual production in filmmaking: {A} remote co-design study},X,-,-,-,-
{An integration of enhanced social force and crowd control models for high-density crowd simulation},X,-,-,-,-
{Holograms for seamless integration of remote students in the classroom},X,-,-,-,-
{{ToTCompute}: {A} {Novel} {EEG}-{Based} {TimeOnTask} {Threshold} {Computation} {Mechanism} for {Engagement} {Modelling} and {Monitoring}},X,-,-,-,-
{Evaluating an augmented reality interface for sailing navigation: a comparative study with a immersive virtual reality simulator},X,-,-,-,-
{Game-based learning in metaverse: {Virtual} chemistry classroom for chemical bonding for remote education},X,-,-,-,-
{Intelligent {IoT} systems for civil infrastructure health monitoring: a research roadmap},X,-,-,-,-
{Recognizing shopper demographics from behavioral responses in a virtual reality store},X,-,-,-,-
{A {Space} {Filling} {Algorithm} for {Generating} {Procedural} {Geometry} and {Texture}},X,-,-,-,-
{Audio description in video games? {Persons} with visual disabilities weigh in},X,-,-,-,-
{‘{Worksome} but {Rewarding}’ –{Stakeholder} {Perceptions} on {Value} in {Collaborative} {Design} {Work}},X,-,-,-,-
{Arousing a wide range of emotions within educational virtual reality simulation about major depressive disorder affects knowledge retention},X,-,-,-,-
{Multimedia augmented reality game for learning math},X,-,-,-,-
{A case study of a virtual reality-based drink driving educational tool},X,-,-,-,-
{Exploring the viability of augmented reality game- enhanced education in {WhatsApp} flipped and blended classes versus the face-to-face classes},X,-,-,-,-
{{OmniGlasses}: an optical aid for stereo vision {CNNs} to enable omnidirectional image processing},X,-,-,-,-
{Long short-term memory prediction of user’s locomotion in virtual reality},X,-,-,-,-
{Empowering {Users} to {Game} {Dovelopment} {Platform} for {Visually} {Impaired} {Student}},X,-,-,-,-
{Impacts of augmented reality on foreign language teaching: a case study of {Persian} language},X,-,-,-,-
{Examining the feasibility of immersive virtual reality to measure upper limb motor performance in typically developing children and adolescents},X,-,-,-,-
{Physioland: a motivational complement of physical therapy for patients with neurological diseases},X,-,-,-,-
{Using immersive virtual reality to remotely examine performance differences between dominant and non-dominant hands},X,-,-,-,-
{A serious-gamification blueprint towards a normalized attention},X,-,-,-,-
{A scenario generation pipeline for autonomous vehicle simulators},X,-,-,-,-
{Participatory design and evaluation of virtual reality physical rehabilitation for people living with dementia},X,-,-,-,-
{Special {Issue} on {Advances} in {Human}-{Computer} {Interaction}},X,-,-,-,-
{Testing driver warning systems for off-road industrial vehicles using a cyber-physical simulator},X,-,-,-,-
{{VR} interventions aimed to induce empathy: a scoping review},X,-,-,-,-
{Is social presence (alone) a general predictor for good remote collaboration? comparing video and augmented reality guidance in maintenance procedures},X,-,-,-,-
{Assessment of prospective memory after stroke utilizing virtual reality},X,-,-,-,-
{Back to reality: transition techniques from short {HMD}-based virtual experiences to the physical world},X,-,-,-,-
"{Augmented reality flavor: cross-modal mapping across gustation, olfaction, and vision}",X,-,-,-,-
{Deep learning and multivariate time series for cheat detection in video games},X,-,-,-,-
{Evaluating {Player} {Strategies} in the {Design} of a {Hot} {Hand} {Game}},X,-,-,-,-
{Benefits of immersive collaborative learning in {CAVE}-based virtual reality},X,-,-,-,-
{Improving real-world skills in people with intellectual disabilities: an immersive virtual reality intervention},X,-,-,-,-
{Redirected walking in virtual reality with auditory step feedback},X,-,-,-,-
{Definition of guidelines for virtual reality application design based on visual attention},X,-,-,-,-
{Creating a treadmill running video game with smartwatch interaction},X,-,-,-,-
{Exploring gestural input for engineering surveys of real-life structures in virtual reality using photogrammetric {3D} models},X,-,-,-,-
{Consensus decision-making in artificial swarms via entropy-based local negotiation and preference updating},X,-,-,-,-
{Postural instability-induced compensative movements in virtual reality},X,-,-,-,-
{Model vs system level testing of autonomous driving systems: a replication and extension study},X,-,-,-,-
"{Memory for a virtual reality experience in children and adults according to image quality, emotion, and sense of presence}",X,-,-,-,-
"{Editorial for {EAIT} issue 1, 2020}",X,-,-,-,-
"{Sustainable, empowering and emotional interactive multimedia}",X,-,-,-,-
{Developing a virtual reality environment for educational and therapeutic application to investigate psychological reactivity to bullying},X,-,-,-,-
"{Preface the visual computer (vol 38, issue 12)}",X,-,-,-,-
{Evaluating the viewer experience of interactive virtual reality movies},X,-,-,-,-
{Virtual reality environment for exposure therapy in obsessive–compulsive disorder: a validation study},X,-,-,-,-
{Assisted navigation for digital architectural walkthroughs in {Natural} {User} {Interface}-based installations},X,-,-,-,-
{Investigating the influence of agent modality and expression on agent-mediated fairness behaviours},X,-,-,-,-
{Guest {Editorial}: {Multimedia} for {Advanced} {Human}-{Computer} {Interaction}},X,-,-,-,-
{Designing and {Creating} a {Game} {Installation}},X,-,-,-,-
{Visuohaptic augmented feedback for enhancing motor skills acquisition},X,-,-,-,-
{Assessing the perceptual equivalence of a firefighting training exercise across virtual and real environments},X,-,-,-,-
{Real-walk modelling: deep learning model for user mobility in virtual reality},X,-,-,-,-
{Aesthetic judgments of {3D} arts in virtual reality and online settings},X,-,-,-,-
{Special {Issue} on {Generating} {Realistic} {Visual} {Data} of {Human} {Behavior}},X,-,-,-,-
{Co-design of avatars to embody auditory hallucinations of patients with schizophrenia},X,-,-,-,-
{Combining modeling and gaming for predictive analytics},X,-,-,-,-
{The value of collision feedback in robotic surgical skills training},X,-,-,-,-
{Immersive virtual reality for upper limb rehabilitation: comparing hand and controller interaction},X,-,-,-,-
{Exploring the influence of a user-specific explainable virtual advisor on health behaviour change intentions},X,-,-,-,-
{Dynamical model for gamification of learning ({DMGL})},X,-,-,-,-
{Overground walking while using a virtual reality head mounted display increases variability in trunk kinematics and reduces dynamic balance in young adults},X,-,-,-,-
{Non-native speaker perception of {Intelligent} {Virtual} {Agents} in two languages: the impact of amount and type of grammatical mistakes},X,-,-,-,-
{Augmented grocery shopping: fostering healthier food purchases through {AR}},X,-,-,-,-
{A fuzzy logic approach to reliable real-time recognition of facial emotions},X,-,-,-,-
{Special issue on exploring new {Natural} {User} {Experiences}},X,-,-,-,-
{Move your virtual body: differences and similarities in brain activation patterns during hand movements in real world and virtual reality},X,-,-,-,-
{Design and implementation of a same-user identification system in invoked reality space},X,-,-,-,-
"{Effects of electrical brain stimulation on brain indices and presence experience in immersive, interactive virtual reality}",X,-,-,-,-
{Investigation of spatial ability test completion times in virtual reality using a desktop display and the {Gear} {VR}},X,-,-,-,-
