Document Title,EC1,EC2,EC3,EC4,EC5
Glow the Buzz: a VR Puzzle Adventure Game Mainly Played Through Haptic Feedback,X,-,-,-,-
FRAME '24: Proceedings of the 4th Workshop on Flexible Resource and Application Management on the Edge,X,-,-,-,-
Evaluations of Parallel Views for Sequential VR Search Tasks,X,-,-,-,-
FridgeSort - Improving Fridge Sorting behaviour to reduce Food Waste through a Mobile Serious Game,X,-,-,-,-
Playful Reflection: Impact of Gamification on a Virtual Reality Simulation of Breastfeeding,X,-,-,-,-
MMSys '23: Proceedings of the 14th ACM Multimedia Systems Conference,X,-,-,-,-
The Sea Is a Sky: Towards a Poetry of Motion,X,-,-,-,-
Unlocking cultural heritage: leveraging georeferenced tools and open data for enhanced cultural tourism experiences.,X,-,-,-,-
Evaluating the Impact of Tiled User-Adaptive Real-Time Point Cloud Streaming on VR Remote Communication,X,-,-,-,-
PEARC '23: Practice and Experience in Advanced Research Computing 2023: Computing for the Common Good,X,-,-,-,-
Uncovering Visually Impaired Gamers’ Preferences for Spatial Awareness Tools Within Video Games,X,-,-,-,-
Tangible Web: An Interactive Immersion Virtual Reality Creativity System that Travels Across Reality,X,-,-,-,-
Loci Stories: Exploring Design for Polyvocality&nbsp;,X,-,-,-,-
A Dynamic Difficulty Adjustment Algorithm With Generic Player Behavior Classification Unity Plugin In Single Player Games,X,-,-,-,-
"HUGO, a High-Resolution Tactile Emulator for Complex Surfaces",X,-,-,X,-
Enhancing Non-Speech Information Communicated in Closed Captioning Through Critical Design,X,-,-,-,-
Wish You Were Here: Mental and Physiological Effects of Remote Music Collaboration in Mixed Reality,X,-,-,-,-
Study on the Perception of Implicit Indication When Collaborating with an Artificial Agent: Example with the Japanese Rice Cake “Mochi” Making,X,-,-,-,-
Industry Practices for Challenging Autonomous Driving Systems with Critical Scenarios,X,-,-,-,-
DreamVR: Curating an Interactive Exhibition in Social VR Through an Autobiographical Design Study,X,-,-,-,-
The Personality Dimensions GPT-3 Expresses During Human-Chatbot Interactions,X,-,-,-,-
FUSE – Flexible File Format and Intermediate Representation for Secure Multi-Party Computation,X,-,-,-,-
How Are Your Participants Feeling Today? Accounting For and Assessing Emotions in Virtual Reality,X,-,-,-,-
Virtual Reality Health Education to Prevent Musculoskeletal Disorders and Chronic Low Back Pain in Formal and Informal Caregivers.,X,-,-,-,-
Generation of realistic facial animation of a CG avatar speaking a moraic language,X,-,-,-,-
SkinMixer: Blending 3D Animated Models,X,-,-,-,-
LightSword: A Customized Virtual Reality Exergame for Long-Term Cognitive Inhibition Training in Older Adults,X,-,-,-,-
Towards the Legibility of Multi-robot Systems,X,-,-,-,-
ITiCSE 2024: Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 2,X,-,-,-,-
CHI PLAY Companion '23: Companion Proceedings of the Annual Symposium on Computer-Human Interaction in Play,X,-,-,-,-
Exploring Shape Embedding for Cloth-Changing Person Re-Identification via 2D-3D Correspondences,X,-,-,-,-
Why Oatmeal is Cheap: Kolmogorov Complexity and Procedural Generation,X,-,-,-,-
Eggventures: Strengthening Connectedness through Coop-Play,X,-,-,-,-
Training lay counselors with virtual agents to promote vaccination,X,-,-,-,-
CSCS '22: Proceedings of the 6th ACM Computer Science in Cars Symposium,X,-,-,-,-
Monocular depth estimation using synthetic data with domain-separated feature alignment,X,-,-,-,-
CHI PLAY '22: Extended Abstracts of the 2022 Annual Symposium on Computer-Human Interaction in Play,X,-,-,-,-
RIDS: Implicit Detection of a Selection Gesture Using Hand Motion Dynamics During Freehand Pointing in Virtual Reality,X,-,-,-,-
"ICGJ '23: Proceedings of the 7th International Conference on Game Jams, Hackathons and Game Creation Events",X,-,-,-,-
TongueTap: Multimodal Tongue Gesture Recognition with Head-Worn Devices,X,-,-,-,-
Diverse Effective Relationship Exploration for Cooperative Multi-Agent Reinforcement Learning,X,-,-,-,-
Tailoring a Persuasive Game to Promote Secure Smartphone Behaviour,X,-,-,-,-
It’s Not Warm But That’s Okay: About Robots That Avoid Human Stereotypes,X,-,-,-,-
Virtual Reality Audio Game for Entertainment &amp; Sound Localization Training,X,-,-,-,-
Improving Transferability for Domain Adaptive Detection Transformers,X,-,-,-,-
SA '23: SIGGRAPH Asia 2023 Conference Papers,X,-,-,-,-
GoodIT '22: Proceedings of the 2022 ACM Conference on Information Technology for Social Good,X,-,-,-,-
Snatch and Hatch: Improving Receptivity Towards a Nature of Science with a Playful Mobile Application,X,-,-,-,-
Navigating Complexity: Investigating How Students Move Through the Game Design Process,X,-,-,-,-
Experiencing Reconstructed Reality: The Perception of Visual-Acoustic Properties,X,-,-,-,-
CAFI-AR: Contact-aware Freehand Interaction with AR Objects,X,-,-,-,-
What does it mean to cycle in Virtual Reality? Exploring Cycling Fidelity and Control of VR Bicycle Simulators,X,-,-,-,-
"Effects of a Gaze-Based 2D Platform Game on User Enjoyment, Perceived Competence, and Digital Eye Strain",X,-,-,-,-
NeuroDog: Quadruped Embodiment using Neural Networks,X,-,-,-,-
ETRA '24: Proceedings of the 2024 Symposium on Eye Tracking Research and Applications,X,-,-,-,-
LIFT - A System to Create Mixed 360° Video and 3D Content for Live Immersive Virtual Field Trip,X,-,-,-,-
Following the Leader in Multiplayer Tabletop Games,X,-,-,-,-
"""Can you help me?"": an experience report of teamwork in a game coding camp for autistic high school students",X,-,-,-,-
Using Feedforward to Reveal Interaction Possibilities in Virtual Reality,X,-,-,-,-
Evaluating Difficulty Adjustments in a VR Exergame for Younger and Older Adults: Transferabilities and Differences,X,-,-,-,-
Working with Forensic Practitioners to Understand the Opportunities and Challenges for Mixed-Reality Digital Autopsy,X,-,-,-,-
Touch-less Remedial Game Prototype for Hand Rehabilitation - Feedback Results,X,-,-,-,-
Collaborative Software Exploration with Multimedia Note Taking in Virtual Reality,X,-,-,-,-
Visuo-haptic Crossmodal Shape Perception Model for Shape-Changing Handheld Controllers Bridged by Inertial Tensor,X,-,-,-,-
MuscleRehab: Improving Unsupervised Physical Rehabilitation by Monitoring and Visualizing Muscle Engagement,X,-,-,-,-
Spatial Audio Empowered Smart speakers with Xblock - A Pose-Adaptive Crosstalk Cancellation Algorithm for Free-moving Users,X,-,-,-,-
Workspace Scaling in Virtual Reality based Robot Teleoperation,X,-,-,-,-
Don’t Panic! - Influence of Virtual Stressor Representations from the ICU Context on Perceived Stress Levels,X,-,-,-,-
SA '22: SIGGRAPH Asia 2022 Posters,X,-,-,-,-
Can Cross-Reality Help Nonspeaking Autistic People Transition to AR Typing?,X,-,-,-,-
CBMI '22: Proceedings of the 19th International Conference on Content-based Multimedia Indexing,X,-,-,-,-
TADA: Making Node-link Diagrams Accessible to Blind and Low-Vision People,X,-,-,-,-
Procedural Game Level Design to Trigger Spatial Exploration,X,-,-,-,-
The Rubber Hand Illusion in Virtual Reality and the Real World - Comparable but Different,X,-,-,-,-
FDG '22: Proceedings of the 17th International Conference on the Foundations of Digital Games,X,-,-,-,-
SA '22: SIGGRAPH Asia 2022 XR,X,-,-,-,-
A Matter of Perspective: Designing Immersive Character Transitions for Virtual Reality Games,X,-,-,-,-
Augmented Objects as Portals into Virtual Worlds:Using Audio to Create Immersive Experiences in Extended Realities,X,-,-,-,-
A Virtual Reality Application to Make Mathematical Functions Accessible,X,-,-,-,-
MOCO '24: Proceedings of the 9th International Conference on Movement and Computing,X,-,-,-,-
GERRY: a gamified browser tool for GUI testing,X,-,-,-,-
Grow Your Plant: A Plant-Based Game For Creating Awareness About Sustainability Behaviour by Using Renewable Energy,X,-,-,-,-
"Scientific and Fantastical: Creating Immersive, Culturally Relevant Learning Experiences with Augmented Reality and Large Language Models",X,-,-,-,-
Facs-Charm: A Hybrid Agent-Based and Discrete-Event Simulation Approach for Covid-19 Management at Regional Level,X,-,-,-,-
The RayHand Navigation: A Virtual Navigation Method with Relative Position between Hand and Gaze-Ray,X,-,-,-,-
Exploring Situated Empathy through a Metaverse Campus,X,-,-,-,-
Serious Game for Learning Ship Electrical Earth Fault Troubleshooting based on User and Expert Involvement,X,-,-,-,-
MouseClicker: Exploring Tactile Feedback and Physical Agency for People with Hand Motor Impairments,X,-,-,-,-
Play with my Expectations: Players Implicitly Anticipate Game Events Based on In-Game Time-Event Correlations,X,-,-,-,-
The Impact of Sharing Gaze Behaviours in Collaborative Mixed Reality,X,-,-,-,-
IMX '23: Proceedings of the 2023 ACM International Conference on Interactive Media Experiences,X,-,-,-,-
SA '23: SIGGRAPH Asia 2023 Emerging Technologies,X,-,-,-,-
Reducing Racial Bias by Interacting with Virtual Agents: An Intervention in Virtual Reality,X,-,-,-,-
“The Guide Has Your Back”: Exploring How Sighted Guides Can Enhance Accessibility in Social Virtual Reality for Blind and Low Vision People,X,-,-,-,-
Going Incognito in the Metaverse: Achieving Theoretically Optimal Privacy-Usability Tradeoffs in VR,X,-,-,-,-
"ICACS '22: Proceedings of the 6th International Conference on Algorithms, Computing and Systems",X,-,-,-,-
A Framework for Analogue Game-modification Learning: Guidelines to Lower Barriers for Games in Education,X,-,-,-,-
All Birds Must Fly: The Experience of Multimodal Hands-free Gaming with Gaze and Nonverbal Voice Synchronization,X,-,-,-,-
SA '23: SIGGRAPH Asia 2023 XR,X,-,-,-,-
UIST '23: Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,X,-,-,-,-
Let’s Compete! The Influence of Human-Agent Competition and Collaboration on Agent Learning and Human Perception,X,-,-,-,-
Multiperspective Teaching of Unknown Objects via Shared-gaze-based Multimodal Human-Robot Interaction,X,-,-,-,-
MMVE '24: Proceedings of the 16th International Workshop on Immersive Mixed and Virtual Environment Systems,X,-,-,-,-
SAP '23: ACM Symposium on Applied Perception 2023,X,-,-,-,-
A Hierarchical Game-Theoretic Decision-Making for Cooperative Multiagent Systems Under the Presence of Adversarial Agents,X,-,-,-,-
IPMV '23: Proceedings of the 2023 5th International Conference on Image Processing and Machine Vision,X,-,-,-,-
MobileHCI '23 Companion: Proceedings of the 25th International Conference on Mobile Human-Computer Interaction,X,-,-,-,-
GREIL-Crowds: Crowd Simulation with Deep Reinforcement Learning and Examples,X,-,-,-,-
Enhancing the security of gaming transactions using blockchain technology,X,-,-,-,-
RobCE '24: Proceedings of the 2024 4th International Conference on Robotics and Control Engineering,X,-,-,-,-
Interactive Narrative and Story-telling,X,-,-,-,-
HyWay: Enabling Mingling in the Hybrid World,X,-,-,-,-
VRST '23: Proceedings of the 29th ACM Symposium on Virtual Reality Software and Technology,X,-,-,-,-
Investigating the Influence of Gaze- and Context-Adaptive Head-up Displays on Take-Over Requests,X,-,-,-,-
CompSysTech '24: Proceedings of the International Conference on Computer Systems and Technologies 2024,X,-,-,-,-
Geppetteau: Enabling haptic perceptions of virtual fluids in various vessel profiles using a string-driven haptic interface,X,-,-,-,-
"LINA - A Social Augmented Reality Game around Mental Health, Supporting Real-world Connection and Sense of Belonging for Early Adolescents",X,-,-,-,-
ICCMT '24: Proceedings of the 2024 International Conference on Computer and Multimedia Technology,X,-,-,-,-
"Work Hard, Scare Hard? An Investigation of How Mental Workload Impacts Jump Scare Intensity",X,-,-,-,-
Dancing with the Avatars: Minimal Avatar Customisation Enhances Learning in a Psychomotor Task,X,-,-,-,-
MR Object Identification and Interaction: Fusing Object Situation Information from Heterogeneous Sources,X,-,-,-,-
Using the Visual Language of Comics to Alter Sensations in Augmented Reality,X,-,-,-,-
Sturgeon-MKIII: Simultaneous Level and Example Playthrough Generation via Constraint Satisfaction with Tile Rewrite Rules,X,-,-,-,-
IMX '24: Proceedings of the 2024 ACM International Conference on Interactive Media Experiences,X,-,-,-,-
MetaSys '23: Proceedings of the First Workshop on Metaverse Systems and Applications,X,-,-,-,-
VRST '22: Proceedings of the 28th ACM Symposium on Virtual Reality Software and Technology,X,-,-,-,-
Exploring the Impact of Interconnected External Interfaces in Autonomous Vehicles on Pedestrian Safety and Experience,X,-,-,-,-
ARCritique: Supporting Remote Design Critique of Physical Artifacts through Collaborative Augmented Reality,X,-,-,-,-
Development of a Virtual Reality Treatment for Tinnitus - A User Study,X,-,-,-,-
Curiosity-Driven and Victim-Aware Adversarial Policies,X,-,-,-,-
"Meeting Your Virtual Twin: Effects of Photorealism and Personalization on Embodiment, Self-Identification and Perception of Self-Avatars in Virtual Reality",X,-,-,-,-
SUI '22: Proceedings of the 2022 ACM Symposium on Spatial User Interaction,X,-,-,-,-
Be Our Guest: Intercultural Heritage Exchange through Augmented Reality (AR),X,-,-,-,-
CHIGREECE '23: Proceedings of the 2nd International Conference of the ACM Greek SIGCHI Chapter,X,-,-,-,-
Nudging or Waiting? Automatically Synthesized Robot Strategies for Evacuating Noncompliant Users in an Emergency Situation,X,-,-,-,-
UnMapped: Leveraging Experts’ Situated Experiences to Ease Remote Guidance in Collaborative Mixed Reality,X,-,-,-,-
Outpace Reality: A Novel Augmented-Walking Technique for Virtual Reality Games,X,-,-,-,-
Consistency Learning based on Class-Aware Style Variation for Domain Generalizable Semantic Segmentation,X,-,-,-,-
SUI '23: Proceedings of the 2023 ACM Symposium on Spatial User Interaction,X,-,-,-,-
BDIOT '23: Proceedings of the 2023 7th International Conference on Big Data and Internet of Things,X,-,-,-,-
Introducing VAMPIRE – Using Kinaesthetic Feedback in Virtual Reality for Automated Driving Experiments,X,-,-,-,-
Autism and Socially Interactive Agents,X,-,-,-,-
MMSys '24: Proceedings of the 15th ACM Multimedia Systems Conference,X,-,-,-,-
"Designing Immersive, Narrative-Based Interfaces to Guide Outdoor Learning",X,-,-,-,-
“I Feel My Abs”: Exploring Non-standing VR Locomotion,X,-,-,-,-
Communicating Agent Intentions for Human-Agent Decision Making under Uncertainty,X,-,-,-,-
"AeroTraj: Trajectory Planning for Fast, and Accurate 3D Reconstruction Using a Drone-based LiDAR",X,-,-,-,-
CSCS '23: Proceedings of the 7th ACM Computer Science in Cars Symposium,X,-,-,-,-
ARTECH '23: Proceedings of the 11th International Conference on Digital and Interactive Arts,X,-,-,-,-
Investigating the Use of AR Glasses for Content Annotation on Mobile Devices,X,-,-,-,-
UIST '22 Adjunct: Adjunct Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology,X,-,-,-,-
DoodleTunes: Interactive Visual Analysis of Music-Inspired Children Doodles with Automated Feature Annotation,X,-,-,-,-
ICSE-SEIP '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,X,-,-,-,-
GECCO '24 Companion: Proceedings of the Genetic and Evolutionary Computation Conference Companion,X,-,-,-,-
Using Virtual Reality to Shape Humanity’s Return to the Moon: Key Takeaways from a Design Study,X,-,-,-,-
"MOBISYS '24: Proceedings of the 22nd Annual International Conference on Mobile Systems, Applications and Services",X,-,-,-,-
Gaze on the Go: Effect of Spatial Reference Frame on Visual Target Acquisition During Physical Locomotion in Extended Reality,X,-,-,-,-
MuC '24: Proceedings of Mensch und Computer 2024,X,-,-,-,-
Towards Applied Remapped Physical-Virtual Interfaces: Synchronization Methods for Resolving Control State Conflicts,X,-,-,-,-
ICIEAI '23: Proceedings of the 2023 International Conference on Information Education and Artificial Intelligence,X,-,-,-,-
IMXw '24: Proceedings of the 2024 ACM International Conference on Interactive Media Experiences Workshops,X,-,-,-,-
LAGH: Towards Asymmetrical Collaborative Bodily Play between 1st and 2nd Person Perspectives,X,-,-,-,-
ICSE '23: Proceedings of the 45th International Conference on Software Engineering: Companion Proceedings,X,-,-,-,-
One block on top of the other: using minetest to teach Scrum,X,-,-,-,-
Towards an Eye-Brain-Computer Interface: Combining Gaze with the Stimulus-Preceding Negativity for Target Selections in XR,X,-,-,-,-
GazeCues: Exploring the Effects of Gaze-based Visual Cues in Virtual Reality Exploration Games,X,-,-,-,-
SIGSIM-PADS '24: Proceedings of the 38th ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,X,-,-,-,-
Fluito: Towards Understanding the Design of Playful Water Experiences through an Extended Reality Floatation Tank System,X,-,-,-,-
ETRA '23: Proceedings of the 2023 Symposium on Eye Tracking Research and Applications,X,-,-,-,-
Tracking Stuffed Toy for Naturally Mapped Interactive Play via a Soft-Pose Estimator,X,-,-,-,-
CPS-IoT Week '23: Proceedings of Cyber-Physical Systems and Internet of Things Week 2023,X,-,-,-,-
"CAICE '24: Proceedings of the 3rd International Conference on Computer, Artificial Intelligence and Control Engineering",X,-,-,-,-
Design and Fabrication of Multifunctional E-Textiles by Upcycling Waste Cotton Fabrics through Carbonization,X,-,-,-,-
C&amp;C '24: Proceedings of the 16th Conference on Creativity &amp; Cognition,X,-,-,-,-
Rediscovering the Traditional UNESCO World Heritage Hawamahal through 3D Animation and Immersive Technology,X,-,-,-,-
AHs '23: Proceedings of the Augmented Humans International Conference 2023,X,-,-,-,-
Exploratory Study on the Perception of Intelligent Virtual Agents With Non-Native Accents Using Synthetic and Natural Speech in German,X,-,-,-,-
FSE 2024: Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,X,-,-,-,-
ICAICE '23: Proceedings of the 4th International Conference on Artificial Intelligence and Computer Engineering,X,-,-,-,-
Designing Inclusive Interaction with Autonomous Vehicles for Older Passengers,X,-,-,-,-
Pla(y)cemaking With Care: Locative Mobile Games as Agents of Place Cultivation,X,-,-,-,-
EICS '24 Companion: Companion Proceedings of the 16th ACM SIGCHI Symposium on Engineering Interactive Computing Systems,X,-,-,-,-
CIIS '23: Proceedings of the 2023 6th International Conference on Computational Intelligence and Intelligent Systems,X,-,-,-,-
ICHMI '24: Proceedings of the 2024 4th International Conference on Human-Machine Interaction,X,-,-,-,-
HRI '24: Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,X,-,-,-,-
ESEC/FSE 2023: Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,X,-,-,-,-
IVA '23: Proceedings of the 23rd ACM International Conference on Intelligent Virtual Agents,X,-,-,-,-
i-CREATe '23: Proceedings of the 16th International Convention on Rehabilitation Engineering and Assistive Technology,X,-,-,-,-
CHI EA '24: Extended Abstracts of the 2024 CHI Conference on Human Factors in Computing Systems,X,-,-,-,-
COMPUTE '22: Proceedings of the 15th Annual ACM India Compute Conference,X,-,-,-,-
AM '22: Proceedings of the 17th International Audio Mostly Conference,X,-,-,-,-
ICEMT '23: Proceedings of the 7th International Conference on Education and Multimedia Technology,X,-,-,-,-
AHs '24: Proceedings of the Augmented Humans International Conference 2024,X,-,-,-,-
Interacci\'on '22: Proceedings of the XXII International Conference on Human Computer Interaction,X,-,-,-,-
"ICNCC '23: Proceedings of the 2023 12th International Conference on Networks, Communication and Computing",X,-,-,-,-
ICCCM '23: Proceedings of the 2023 11th International Conference on Computer and Communications Management,X,-,-,-,-
Cross-device record and replay for Android apps,X,-,-,-,-
HRI '24: Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,X,-,-,X,-
IUI '23 Companion: Companion Proceedings of the 28th International Conference on Intelligent User Interfaces,X,-,-,-,-
"Gamify 2023: Proceedings of the 2nd International Workshop on Gamification in Software Development, Verification, and Validation",X,-,-,-,-
Never Skip Leg Day Again: Training the Lower Body with Vertical Jumps in a Virtual Reality Exergame,X,-,-,-,-
MuC '22: Proceedings of Mensch und Computer 2022,X,-,-,-,-
IoT '23: Proceedings of the 13th International Conference on the Internet of Things,X,-,-,-,-
WSC '23: Proceedings of the Winter Simulation Conference,X,-,-,-,-
W4A '23: Proceedings of the 20th International Web for All Conference,X,-,-,-,-
ICCIR '22: Proceedings of the 2022 2nd International Conference on Control and Intelligent Robotics,X,-,-,-,-
ICETT '23: Proceedings of the 9th International Conference on Education and Training Technologies,X,-,-,-,-
VaMoS '24: Proceedings of the 18th International Working Conference on Variability Modelling of Software-Intensive Systems,X,-,-,-,-
PETRA '24: Proceedings of the 17th International Conference on PErvasive Technologies Related to Assistive Environments,X,-,-,-,-
PETRA '23: Proceedings of the 16th International Conference on PErvasive Technologies Related to Assistive Environments,X,-,-,-,-
Tourgether360: Collaborative Exploration of 360° Videos using Pseudo-Spatial Navigation,X,-,-,-,-
CSERC '22: Proceedings of the 11th Computer Science Education Research Conference,X,-,-,-,-
CHI '24: Proceedings of the CHI Conference on Human Factors in Computing Systems,X,-,-,-,-
ICMIP '24: Proceedings of the 2024 9th International Conference on Multimedia and Image Processing,X,-,-,-,-
SIGITE '23: Proceedings of the 24th Annual Conference on Information Technology Education,X,-,-,-,-
WiSec '24: Proceedings of the 17th ACM Conference on Security and Privacy in Wireless and Mobile Networks,X,-,-,-,-
ICDEL '23: Proceedings of the 2023 8th International Conference on Distance Education and Learning,X,-,-,-,-
MUM '23: Proceedings of the 22nd International Conference on Mobile and Ubiquitous Multimedia,X,-,-,-,-
ICPC '24: Proceedings of the 32nd IEEE/ACM International Conference on Program Comprehension,X,-,-,-,-
ACM REP '23: Proceedings of the 2023 ACM Conference on Reproducibility and Replicability,X,-,-,-,-
ICSE '24: Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,X,-,-,-,-
GECCO '23 Companion: Proceedings of the Companion Conference on Genetic and Evolutionary Computation,X,-,-,-,-
ICEEL '22: Proceedings of the 2022 6th International Conference on Education and E-Learning,X,-,-,-,-
ICMI '23: Proceedings of the 25th International Conference on Multimodal Interaction,X,-,-,-,-
IDC '24: Proceedings of the 23rd Annual ACM Interaction Design and Children Conference,X,-,-,-,-
SIGCSE 2024: Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,X,-,-,-,-
VINCI '23: Proceedings of the 16th International Symposium on Visual Information Communication and Interaction,X,-,-,-,-
ICHMI '22: Proceedings of the 2022 International Conference on Human Machine Interaction,X,-,-,-,-
Multi-Agent Advisor Q-Learning,X,-,-,-,-
EuroPLoP '23: Proceedings of the 28th European Conference on Pattern Languages of Programs,X,-,-,-,-
FAIML '23: Proceedings of the 2023 International Conference on Frontiers of Artificial Intelligence and Machine Learning,X,-,-,-,-
MuC '23: Proceedings of Mensch und Computer 2023,X,-,-,-,-
ASSETS '22: Proceedings of the 24th International ACM SIGACCESS Conference on Computers and Accessibility,X,-,-,-,-
ICDIP '23: Proceedings of the 15th International Conference on Digital Image Processing,X,-,-,-,-
ESEC/FSE 2022: Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,X,-,-,-,-
SoCC '23: Proceedings of the 2023 ACM Symposium on Cloud Computing,X,-,-,-,-
MMAsia '23: Proceedings of the 5th ACM International Conference on Multimedia in Asia,X,-,-,-,-
ICSE-SEET '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training,X,-,-,-,-
"IVSP '24: Proceedings of the 2024 6th International Conference on Image, Video and Signal Processing",X,-,-,-,-
CHI EA '23: Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems,X,-,-,-,-
HAI '22: Proceedings of the 10th International Conference on Human-Agent Interaction,X,-,-,-,-
AutomotiveUI '23 Adjunct: Adjunct Proceedings of the 15th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,X,-,-,-,-
ICSE '23: Proceedings of the 45th International Conference on Software Engineering,X,-,-,-,-
ASE '22: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,X,-,-,-,-
ICCDA '23: Proceedings of the 2023 7th International Conference on Computing and Data Analysis,X,-,-,-,-
PCI '22: Proceedings of the 26th Pan-Hellenic Conference on Informatics,X,-,-,-,-
ICEEL '23: Proceedings of the 2023 7th International Conference on Education and E-Learning,X,-,-,-,-
HAI '23: Proceedings of the 11th International Conference on Human-Agent Interaction,X,-,-,-,-
ICIEI '23: Proceedings of the 2023 8th International Conference on Information and Education Innovations,X,-,-,-,-
SETN '22: Proceedings of the 12th Hellenic Conference on Artificial Intelligence,X,-,-,-,-
ASSETS '23: Proceedings of the 25th International ACM SIGACCESS Conference on Computers and Accessibility,X,-,-,-,-
ISWC '23: Proceedings of the 2023 ACM International Symposium on Wearable Computers,X,-,-,-,-
GoodIT '23: Proceedings of the 2023 ACM Conference on Information Technology for Social Good,X,-,-,-,-
SAC '23: Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,X,-,-,-,-
CSCW '23 Companion: Companion Publication of the 2023 Conference on Computer Supported Cooperative Work and Social Computing,X,-,-,-,-
ACSW '23: Proceedings of the 2023 Australasian Computer Science Week,X,-,-,-,-
ICCTA '22: Proceedings of the 2022 8th International Conference on Computer Technology Applications,X,-,-,-,-
"Pick, Click, Flick! The Story of Interaction Techniques",X,-,-,-,-
CHI '23: Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,X,-,-,-,-
ICETM '23: Proceedings of the 2023 6th International Conference on Educational Technology Management,X,-,-,-,-
C&amp;C '23: Proceedings of the 15th Conference on Creativity and Cognition,X,-,-,-,-
Mindtrek '23: Proceedings of the 26th International Academic Mindtrek Conference,X,-,-,-,-
NordiCHI '22: Adjunct Proceedings of the 2022 Nordic Human-Computer Interaction Conference,X,-,-,-,-
CLIHC '23: Proceedings of the XI Latin American Conference on Human Computer Interaction,X,-,-,-,-
ICETC '22: Proceedings of the 14th International Conference on Education Technology and Computers,X,-,-,-,-
AM '23: Proceedings of the 18th International Audio Mostly Conference,X,-,-,-,-
ICSE-SEIP '23: Proceedings of the 45th International Conference on Software Engineering: Software Engineering in Practice,X,-,-,-,-
IUI '23: Proceedings of the 28th International Conference on Intelligent User Interfaces,X,-,-,-,-
"ACAI '22: Proceedings of the 2022 5th International Conference on Algorithms, Computing and Artificial Intelligence",X,-,-,-,-
AAMAS '24: Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems,X,-,-,-,-
CHCHI '23: Proceedings of the Eleventh International Symposium of Chinese CHI,X,-,-,-,-
OzCHI '23: Proceedings of the 35th Australian Computer-Human Interaction Conference,X,-,-,-,-
ICCCV '22: Proceedings of the 5th International Conference on Control and Computer Vision,X,-,-,-,-
ACM MobiCom '23: Proceedings of the 29th Annual International Conference on Mobile Computing and Networking,X,-,-,-,-
ICCSIE '23: Proceedings of the 8th International Conference on Cyber Security and Information Engineering,X,-,-,-,-
Chinese CHI '22: Proceedings of the Tenth International Symposium of Chinese CHI,X,-,-,-,-
"ASENS '24: Proceedings of the International Conference on Algorithms, Software Engineering, and Network Security",X,-,-,-,-
Academic Mindtrek '22: Proceedings of the 25th International Academic Mindtrek Conference,X,-,-,-,-
"RAID '23: Proceedings of the 26th International Symposium on Research in Attacks, Intrusions and Defenses",X,-,-,-,-
ICMI '23 Companion: Companion Publication of the 25th International Conference on Multimodal Interaction,X,-,-,-,-
MAB '23: Proceedings of the 6th Media Architecture Biennale Conference,X,-,-,-,-
ICCCM '22: Proceedings of the 10th International Conference on Computer and Communications Management,X,-,-,-,-
"ICEEG '23: Proceedings of the 2023 7th International Conference on E-Commerce, E-Business and E-Government",X,-,-,-,-
UbiComp/ISWC '22 Adjunct: Adjunct Proceedings of the 2022 ACM International Joint Conference on Pervasive and Ubiquitous Computing and the 2022 ACM International Symposium on Wearable Computers,X,-,-,-,-
ICMI '22 Companion: Companion Publication of the 2022 International Conference on Multimodal Interaction,X,-,-,-,-
IDC '23: Proceedings of the 22nd Annual ACM Interaction Design and Children Conference,X,-,-,-,-
"UMAP '23 Adjunct: Adjunct Proceedings of the 31st ACM Conference on User Modeling, Adaptation and Personalization",X,-,-,-,-
ASIA CCS '23: Proceedings of the 2023 ACM Asia Conference on Computer and Communications Security,X,-,-,-,-
AfriCHI '23: Proceedings of the 4th African Human Computer Interaction Conference,X,-,-,-,-
MUM '22: Proceedings of the 21st International Conference on Mobile and Ubiquitous Multimedia,X,-,-,-,-
EITCE '22: Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering,X,-,-,-,-
OzCHI '22: Proceedings of the 34th Australian Conference on Human-Computer Interaction,X,-,-,-,-
ICRSA '23: Proceedings of the 2023 6th International Conference on Robot Systems and Applications,X,-,-,-,-
ICMI '22: Proceedings of the 2022 International Conference on Multimodal Interaction,X,-,-,-,-
